cod_disciplina,nome_disciplina,carga_horaria,credito,curriculo
OCRQ3517,Storytelling Visual,60,4,1
RJGL2456,Design Colaborativo,60,4,1
QBWW6998,Computacao Grafica,30,2,1
UFMQ0127,Design para Longevidade,60,4,1
MKUB0718,Design de Mobiliario,30,2,1
BKII1063,Design de Visualizacao de Informacoes,60,3,1
RJYZ5864,Identidade Visual,60,4,1
BLDG0260,Design de Joias,60,3,1
AAZN5771,Ergonomia,60,4,1
DOMK5241,Design de Aprendizado,60,4,1
ZULH9584,Projeto Integrado,60,4,1
WPUV3332,Design de Tecnologia Vestivel (Wearable),30,2,1
JGDZ1333,Gamificacao,30,2,1
NRYN3294,Design de Interfaces Neuromorficas,60,3,1
NRCI1107,Design de Experiencia em Museus,60,4,1
UXMU2899,Interacao Tangivel,30,2,1
NGVU3526,Ecodesign,30,2,1
COOQ5695,Design de Interacao em Tempo Real,60,4,1
UCTK5222,Design de Realidade Aumentada (AR) e Virtual (VR),60,4,1
TSYB3211,Impressao 3D,60,3,1
MXMO8868,Cultura Visual,30,2,1
VOQA5582,Tipografia,60,4,1
KAWV5083,Branding,60,4,1
VFBH8799,Design Cibernetico,60,3,1
JJNT2088,Manipulacao de Imagem,60,3,1
JVFQ7338,Design de Interacao Cultural,60,3,1
TPYC6338,Design Thinking,30,2,1
QVGO0107,Prototipagem em Papel,60,3,1
FZLO1427,Marketing de Produto,60,4,1
LERH6635,Design de Produto,60,4,1
MAEY1044,Design Computacional,60,3,1
BMDH7993,Design de Apresentacoes,30,2,1
SATJ7970,Design de Narrativa Espacial,60,4,1
IENT5068,Design Experimental,60,4,1
KZBU0327,Design de Interacao Corporal,60,3,1
AOXV5438,Design de Espacos Virtuais,60,3,1
RRME1020,Design Parametrico,60,4,1
RVMF0745,Design Biomimetico,360,18,1
LLKP8902,Design Digital,60,3,1
DZNQ4989,Design Cenico,60,3,1
XERB6119,Gestao de Marcas,60,4,1
TRQX5862,Etica em Design,60,3,1
VNBQ5535,Design de Moda,60,3,1
TWIP0018,Teoria da Cor,60,3,1
RMDE3651,Teoria do Design,60,3,1
DQUN5124,Comunicacao Visual,60,3,1
NVRL4030,Materiais e Processos,60,3,1
LSHL3127,Design de Redes Sociais,60,4,1
TOZF3011,SemiÃ³tica,60,4,1
HILN2052,Design de Impacto Social,60,3,1
MDQZ6072,Design de Jogos,60,4,1
VMGY1151,Design de Interacao Tangivel,60,4,1
XYOT5349,Tecnicas de Iluminacao,60,3,1
HQDD9963,Design Sonoro,60,4,1
OJNV9272,Fotografia,60,3,1
TLQG8423,Design Biofilico,60,4,1
WWGS2880,Design de Realidade Hibrida,60,4,1
PPDN7220,Modelagem 3D,60,3,1
PBCQ5148,Design de Impressao e Publicacao,60,3,1
JJLP9232,Design de Realidade Simulada,60,4,1
LCDL2427,Design de Veiculos,60,4,1
