nome,disciplina,nome_docente,ano,nota,situacao,semestre
Alana Camila,Branding,,2012,8.7,APROVADO POR MÉDIA,1
Alana Camila,Computacao Grafica,,2011,9.5,APROVADO POR MÉDIA,1
Alana Camila,Comunicacao Visual,,2014,9.75,APROVADO POR MÉDIA,1
Alana Camila,Cultura Visual,,2013,10.0,APROVADO POR MÉDIA,1
Alana Camila,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Alana Camila,Design Biomimetico,,2013,9.5,APROVADO POR MÉDIA,2
Alana Camila,Design Cenico,,2013,8.6,APROVADO POR MÉDIA,2
Alana Camila,Design Cibernetico,,2012,8.0,APROVADO POR MÉDIA,2
Alana Camila,Design Colaborativo,,2011,9.5,APROVADO POR MÉDIA,1
Alana Camila,Design Computacional,,2013,8.9,APROVADO POR MÉDIA,1
Alana Camila,Design Digital,,2013,8.4,APROVADO POR MÉDIA,2
Alana Camila,Design Experimental,,2013,8.75,APROVADO POR MÉDIA,1
Alana Camila,Design Parametrico,,2013,9.0,APROVADO POR MÉDIA,1
Alana Camila,Design Thinking,,2012,9.0,APROVADO POR MÉDIA,1
Alana Camila,Design de Aprendizado,,2011,8.5,APROVADO POR MÉDIA,2
Alana Camila,Design de Apresentacoes,,2013,7.75,APROVADO POR MÉDIA,2
Alana Camila,Design de Espacos Virtuais,,2013,7.5,APROVADO POR MÉDIA,1
Alana Camila,Design de Experiencia em Museus,,2011,9.25,APROVADO POR MÉDIA,2
Alana Camila,Design de Impressao e Publicacao,,2014,7.38,APROVADO POR MÉDIA,1
Alana Camila,Design de Interacao Corporal,,2013,7.0,APROVADO POR MÉDIA,1
Alana Camila,Design de Interacao Cultural,,2012,8.75,APROVADO POR MÉDIA,2
Alana Camila,Design de Interacao Tangivel,,2014,7.5,APROVADO POR MÉDIA,2
Alana Camila,Design de Interacao em Tempo Real,,2012,9.25,APROVADO POR MÉDIA,2
Alana Camila,Design de Interfaces Neuromorficas,,2011,9.0,APROVADO POR MÉDIA,2
Alana Camila,Design de Joias,,2012,10.0,APROVADO POR MÉDIA,1
Alana Camila,Design de Mobiliario,,2011,,APROVADO POR FREQÜÊNCIA,1
Alana Camila,Design de Moda,,2013,7.6,APROVADO POR MÉDIA,2
Alana Camila,Design de Narrativa Espacial,,2013,8.4,APROVADO POR MÉDIA,1
