nome,status
Rafael Jose,DESLIGAMENTO
Manuela Felipe,FORMADO
Leticia Pablo,FORMADO
Melissa Viviane,DESVINCULADO
Valeria Bianca,DESVINCULADO
Luca Eduarda,DESLIGAMENTO
Leticia Vanessa,DESLIGAMENTO
Natalia Julia,DESVINCULADO
Emilly Cecilia,DESVINCULADO
Wagner Yuri,CURSANDO
Clara Alice,DESVINCULADO
Pedro Juliana,DESLIGAMENTO
Vanessa Arthur,FORMADO
Natalia Natalia,CURSANDO
Enzo Guilhermina,DESVINCULADO
Luca Carolina,DESVINCULADO
Leticia Mariana,DESVINCULADO
Lais Luciana,CURSANDO
Pablo Sophia,DESVINCULADO
Larissa Natalia,CURSANDO
Mauricio Mariana,CURSANDO
Luana Livia,DESLIGAMENTO
Mariana Daniel,DESLIGAMENTO
Lara Leticia,DESLIGAMENTO
Joao Guilhermina,DESVINCULADO
Renan Hugo,DESVINCULADO
Camila Isabela,FORMADO
Melissa Larissa,DESLIGAMENTO
Melissa Enzo,DESVINCULADO
Bruno Gustavo,FORMADO
Manuela Joao,FORMADO
