nome_aluno,forma_ingresso
Emilly Caua,VESTIBULAR
Caio Lorena,VESTIBULAR
Guilherme Alice,VESTIBULAR
Elisa Valentina,VESTIBULAR
Vitor Nathanael,VESTIBULAR
Eduardo Pablo,VESTIBULAR
Daniel Rodrigo,VESTIBULAR
Diego Otavio,VESTIBULAR
Michele Bianca,VESTIBULAR
Fernando Paula,VESTIBULAR
Beatriz Juliana,VESTIBULAR
Bianca Isabela,VESTIBULAR
Leandro Luana,VESTIBULAR
Rafael Viviane,VESTIBULAR
Juliana Guilhermina,VESTIBULAR
Lais Julia,VESTIBULAR
Vinicius Rafael,VESTIBULAR
Mateus Pedro,VESTIBULAR
Melissa Isadora,VESTIBULAR
Leticia Caroline,VESTIBULAR
Bruna Vinicius,VESTIBULAR
Sophia Leticia,VESTIBULAR
Julia Maria,VESTIBULAR
Nicolas Bruna,VESTIBULAR
Beatriz Caua,VESTIBULAR
Guilherme Manuela,VESTIBULAR
Luana Leticia,VESTIBULAR
Eduarda Vitoria,VESTIBULAR
Leonardo Luan,VESTIBULAR
Lucas Fernanda,VESTIBULAR
Paula Alice,VESTIBULAR
Leticia Maria,VESTIBULAR
Maria Julia,VESTIBULAR
Miguel Matheus,VESTIBULAR
Luiz Diego,VESTIBULAR
Marcelo Wagner,VESTIBULAR
Vinicius Bianca,VESTIBULAR
Lara Hugo,VESTIBULAR
Caua Amanda,VESTIBULAR
