nome_aluno,forma_ingresso
Matheus Michele,VESTIBULAR
Yuri Eduarda,VESTIBULAR
Maria Camila,VESTIBULAR
Beatriz Mariana,VESTIBULAR
Beatriz Eduarda,VESTIBULAR
Gustavo Raul,VESTIBULAR
Caua Evelyn,VESTIBULAR
Larissa Nathanael,VESTIBULAR
Leticia Marcelo,VESTIBULAR
Leticia Livia,VESTIBULAR
Rafael Camila,VESTIBULAR
Paula Carolina,VESTIBULAR
Bianca Eduardo,VESTIBULAR
Guilherme Isabela,VESTIBULAR
Melissa Thales,VESTIBULAR
Laura Caua,VESTIBULAR
Eduardo Guilhermina,VESTIBULAR
Juliana Arthur,VESTIBULAR
Caio Leticia,VESTIBULAR
Valentina Joao,VESTIBULAR
Mariana Mateus,VESTIBULAR
Caio Thales,VESTIBULAR
Ricardo Rafael,VESTIBULAR
Laura Wagner,VESTIBULAR
Lara Luciana,VESTIBULAR
Raul Isadora,VESTIBULAR
