nome,disciplina,nome_Docente,ano,nota,situacao
Alana Daniel,Computacao Grafica,,2012,,REPROVADO POR FALTA
Alana Daniel,DESLIGAMENTO,,2013,,
Alana Daniel,Design Colaborativo,,2012,,REPROVADO POR FALTA
Alana Daniel,Design de Experiencia em Museus,,2012,,REPROVADO POR FALTA
Alana Daniel,Design de Interfaces Neuromorficas,,2012,,REPROVADO POR FALTA
Alana Daniel,Design de Mobiliario,,2012,,APROVADO POR FREQÜÊNCIA
Alana Daniel,Design de Visualizacao de Informacoes,,2012,7.0,APROVADO POR MÉDIA
Alana Daniel,Design para Longevidade,,2012,8.5,APROVADO POR MÉDIA
Alana Daniel,Ergonomia,,2012,,REPROVADO POR FALTA
Alana Daniel,Identidade Visual,,2012,,REPROVADO POR FALTA
Alana Daniel,Storytelling Visual,,2012,,DISPENSADO
Alice Guilherme,DESLIGAMENTO,,2007,,
Arthur Caua,Branding,,2009,,REPROVADO POR FALTA
Arthur Caua,Computacao Grafica,,2006,9.0,APROVADO POR MÉDIA
Arthur Caua,DESVINCULADO,,2008,,
Arthur Caua,DESVINCULADO,,2010,,
Arthur Caua,Design Colaborativo,,2006,2.5,REPROVADO
Arthur Caua,Design Colaborativo,,2007,0.75,REPROVADO
Arthur Caua,Design Colaborativo,,2009,,REPROVADO POR FALTA
Arthur Caua,Design de Experiencia em Museus,,2007,7.0,APROVADO POR MÉDIA
Arthur Caua,Design de Interfaces Neuromorficas,,2007,,REPROVADO POR FALTA
Arthur Caua,Design de Interfaces Neuromorficas,,2009,,REPROVADO POR FALTA
Arthur Caua,Design de Joias,,2008,,CANCELADO COM ONUS
Arthur Caua,Design de Joias,,2009,,REPROVADO POR FALTA
Arthur Caua,Design de Mobiliario,,2006,9.0,APROVADO POR MÉDIA
Arthur Caua,Design de Realidade Aumentada (AR) e Virtual (VR),,2007,,REPROVADO POR FALTA
Arthur Caua,Design de Visualizacao de Informacoes,,2006,7.0,APROVADO POR MÉDIA
Arthur Caua,Design para Longevidade,,2006,5.5,APROVADO
Arthur Caua,Ergonomia,,2008,,CANCELADO COM ONUS
Arthur Caua,Gamificacao,,2007,5.63,APROVADO
Arthur Caua,Identidade Visual,,2006,7.5,APROVADO POR MÉDIA
Arthur Caua,REINTEGRAÇÃO,,2009,,
Arthur Caua,Storytelling Visual,,2006,8.75,APROVADO POR MÉDIA
Arthur Caua,TRANCAMENTO,,2008,,
