nome_aluno,forma_ingresso
Jose Carolina,VESTIBULAR
Bruno Diego,VESTIBULAR
Vinicius Vitoria,VESTIBULAR
Yuri Beatriz,VESTIBULAR
Maria Valentina,VESTIBULAR
Mateus Helena,VESTIBULAR
Manuela Thales,VESTIBULAR
Emilly Melissa,VESTIBULAR
Valeria Emilly,VESTIBULAR
Cecilia Emilly,VESTIBULAR
Pedro Isadora,VESTIBULAR
Miguel Enzo,VESTIBULAR
Nicolas Vinicius,VESTIBULAR
Leticia Natalia,VESTIBULAR
Mauricio Leticia,VESTIBULAR
Guilherme Ricardo,VESTIBULAR
Isadora Arthur,VESTIBULAR
Nicolas Leonardo,VESTIBULAR
Luca Mateus,VESTIBULAR
Livia Diego,VESTIBULAR
Emilly Manuela,VESTIBULAR
Eduardo Fernando,VESTIBULAR
Rafael Yuri,VESTIBULAR
Juliana Helena,VESTIBULAR
Lais Fernando,VESTIBULAR
Alice Cecilia,VESTIBULAR
Camila Alice,VESTIBULAR
Evelyn Otavio,VESTIBULAR
Sofia Emilly,VESTIBULAR
Carolina Matheus,VESTIBULAR
Evelyn Alana,VESTIBULAR
Leticia Enzo,VESTIBULAR
Diego Lorena,VESTIBULAR
Isabela Viviane,VESTIBULAR
Bruna Isadora,VESTIBULAR
Matheus Viviane,VESTIBULAR
