ano,nome,codigo,disciplina,nota,situacao
2008,Isadora Isabela,OCRQ3517,Storytelling Visual,5.53,APROVADO
2008,Isadora Isabela,RJGL2456,Design Colaborativo,5.63,APROVADO
2008,Isadora Isabela,QBWW6998,Computacao Grafica,7.00,APROVADO POR MÉDIA
2008,Isadora Isabela,UFMQ0127,Design para Longevidade,3.38,REPROVADO
2008,Isadora Isabela,MKUB0718,Design de Mobiliario,9.00,APROVADO POR MÉDIA
2008,Isadora Isabela,BKII1063,Design de Visualizacao de Informacoes,5.00,APROVADO
2008,Isadora Isabela,RJYZ5864,Identidade Visual,7.05,APROVADO POR MÉDIA
2008,Isadora Isabela,DOMK5241,Design de Aprendizado,4.38,REPROVADO
2008,Isadora Isabela,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
2008,Isadora Isabela,WPUV3332,Design de Tecnologia Vestivel (Wearable),9.00,APROVADO POR MÉDIA
2008,Isadora Isabela,NRYN3294,Design de Interfaces Neuromorficas,7.15,APROVADO POR MÉDIA
2008,Isadora Isabela,NRCI1107,Design de Experiencia em Museus,,REPROVADO POR FALTA
2008,Isadora Isabela,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2009,Isadora Isabela,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
2009,Isadora Isabela,JGDZ1333,Gamificacao,7.75,APROVADO POR MÉDIA
2009,Isadora Isabela,TSYB3211,Impressao 3D,,REPROVADO POR FALTA
2009,Isadora Isabela,NRCI1107,Design de Experiencia em Museus,,REPROVADO POR FALTA
2009,Isadora Isabela,MXMO8868,Cultura Visual,,REPROVADO POR FALTA
2009,Isadora Isabela,BLDG0260,Design de Joias,,REPROVADO POR FALTA
2009,Isadora Isabela,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2009,Isadora Isabela,KAWV5083,Branding,,REPROVADO POR FALTA
2009,Isadora Isabela,,TRANCAMENTO,,
2010,Isadora Isabela,,TRANCAMENTO,,
2010,Isadora Isabela,BLDG0260,Design de Joias,,REPROVADO POR FALTA
2011,Isadora Isabela,DOMK5241,Design de Aprendizado,,REPROVADO POR FALTA
2011,Isadora Isabela,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
2011,Isadora Isabela,BMDH7993,Design de Apresentacoes,,REPROVADO POR FALTA
2011,Isadora Isabela,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
2011,Isadora Isabela,TPYC6338,Design Thinking,,REPROVADO POR FALTA
2011,Isadora Isabela,NRCI1107,Design de Experiencia em Museus,,REPROVADO POR FALTA
2011,Isadora Isabela,MXMO8868,Cultura Visual,,REPROVADO POR FALTA
2011,Isadora Isabela,AAZN5771,Ergonomia,,REPROVADO POR FALTA
2011,Isadora Isabela,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
2011,Isadora Isabela,KAWV5083,Branding,,REPROVADO POR FALTA
2010,Michele Otavio,OCRQ3517,Storytelling Visual,,REPROVADO POR FALTA
2010,Michele Otavio,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
2010,Michele Otavio,QBWW6998,Computacao Grafica,,REPROVADO POR FALTA
2010,Michele Otavio,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
2010,Michele Otavio,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
2010,Michele Otavio,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
2010,Michele Otavio,RJYZ5864,Identidade Visual,,REPROVADO POR FALTA
2007,Valeria Camila,OCRQ3517,Storytelling Visual,7.50,APROVADO POR MÉDIA
2007,Valeria Camila,RJGL2456,Design Colaborativo,7.00,APROVADO POR MÉDIA
2007,Valeria Camila,QBWW6998,Computacao Grafica,8.00,APROVADO POR MÉDIA
2007,Valeria Camila,UFMQ0127,Design para Longevidade,6.00,APROVADO
2007,Valeria Camila,MKUB0718,Design de Mobiliario,10.00,APROVADO POR MÉDIA
2007,Valeria Camila,BKII1063,Design de Visualizacao de Informacoes,4.13,REPROVADO
2007,Valeria Camila,RJYZ5864,Identidade Visual,8.70,APROVADO POR MÉDIA
