ano,nome,codigo,disciplina,nota,situacao
2020,Gabriel Enzo,DOMK5241,Design de Aprendizado,,DISPENSADO
2012,Gabriel Enzo,OCRQ3517,Storytelling Visual,3.91,REPROVADO
2012,Gabriel Enzo,RJGL2456,Design Colaborativo,1.85,REPROVADO
2012,Gabriel Enzo,QBWW6998,Computacao Grafica,7.53,APROVADO
2012,Gabriel Enzo,UFMQ0127,Design para Longevidade,7.5,APROVADO POR MÉDIA
2012,Gabriel Enzo,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
2012,Gabriel Enzo,BKII1063,Design de Visualizacao de Informacoes,7.0,APROVADO POR MÉDIA
2012,Gabriel Enzo,RJYZ5864,Identidade Visual,7.25,APROVADO POR MÉDIA
2013,Gabriel Enzo,OCRQ3517,Storytelling Visual,5.0,APROVADO
2013,Gabriel Enzo,RJGL2456,Design Colaborativo,3.97,REPROVADO
2013,Gabriel Enzo,JGDZ1333,Gamificacao,7.75,APROVADO POR MÉDIA
2013,Gabriel Enzo,NRYN3294,Design de Interfaces Neuromorficas,6.5,APROVADO
2013,Gabriel Enzo,NRCI1107,Design de Experiencia em Museus,5.75,APROVADO
2013,Gabriel Enzo,MXMO8868,Cultura Visual,7.0,APROVADO POR MÉDIA
2013,Gabriel Enzo,AAZN5771,Ergonomia,5.0,APROVADO
2013,Gabriel Enzo,RJGL2456,Design Colaborativo,6.18,APROVADO
2013,Gabriel Enzo,BMDH7993,Design de Apresentacoes,7.0,APROVADO POR MÉDIA
2013,Gabriel Enzo,TPYC6338,Design Thinking,7.0,APROVADO POR MÉDIA
2013,Gabriel Enzo,TSYB3211,Impressao 3D,,REPROVADO POR FALTA
2013,Gabriel Enzo,VOQA5582,Tipografia,2.15,REPROVADO
2013,Gabriel Enzo,BLDG0260,Design de Joias,,REPROVADO POR FALTA
2013,Gabriel Enzo,KAWV5083,Branding,5.0,APROVADO
2014,Gabriel Enzo,JJNT2088,Manipulacao de Imagem,,REPROVADO POR FALTA
2014,Gabriel Enzo,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
2014,Gabriel Enzo,WPUV3332,Design de Tecnologia Vestivel (Wearable),7.0,APROVADO POR MÉDIA
2014,Gabriel Enzo,TSYB3211,Impressao 3D,7.5,APROVADO POR MÉDIA
2014,Gabriel Enzo,BLDG0260,Design de Joias,4.03,REPROVADO
