nome,disciplina,ano,nota,situacao,semestre
Vanessa Rafael,Storytelling Visual,2011,5.4,APROVADO,1
Vanessa Rafael,Design Colaborativo,2011,1.65,REPROVADO,1
Vanessa Rafael,Computacao Grafica,2011,7.25,APROVADO POR MÉDIA,1
Vanessa Rafael,Design para Longevidade,2011,5.0,APROVADO,1
Vanessa Rafael,Design de Mobiliario,2011,,APROVADO POR FREQÜÊNCIA,1
Vanessa Rafael,Design de Visualizacao de Informacoes,2011,5.0,APROVADO,1
Vanessa Rafael,Identidade Visual,2011,7.5,APROVADO POR MÉDIA,1
Vanessa Rafael,Gamificacao,2011,7.5,APROVADO POR MÉDIA,2
Vanessa Rafael,Design de Experiencia em Museus,2011,7.0,APROVADO POR MÉDIA,2
Vanessa Rafael,Cultura Visual,2011,5.38,APROVADO,2
Vanessa Rafael,Design de Joias,2011,3.55,REPROVADO,2
Vanessa Rafael,Ergonomia,2011,7.5,APROVADO POR MÉDIA,2
Vanessa Rafael,Design Colaborativo,2012,,REPROVADO POR FALTA,1
Vanessa Rafael,Design Thinking,2012,5.3,APROVADO,1
Vanessa Rafael,Design de Interfaces Neuromorficas,2012,,REPROVADO POR FALTA,1
Vanessa Rafael,Tipografia,2012,,REPROVADO POR FALTA,1
Vanessa Rafael,Design de Joias,2012,,REPROVADO POR FALTA,1
Vanessa Rafael,Design de Realidade Aumentada (AR) e Virtual (VR),2012,,REPROVADO POR FALTA,2
Vanessa Rafael,Design de Interfaces Neuromorficas,2012,,REPROVADO POR FALTA,2
Vanessa Rafael,Tipografia,2012,,REPROVADO POR FALTA,2
Vanessa Rafael,Design de Joias,2012,,REPROVADO POR FALTA,2
Vanessa Rafael,Branding,2012,,REPROVADO POR FALTA,2
Vanessa Rafael,Design Colaborativo,2013,,REPROVADO POR FALTA,1
Vanessa Rafael,Design de Realidade Aumentada (AR) e Virtual (VR),2013,,REPROVADO POR FALTA,1
Vanessa Rafael,Design de Interfaces Neuromorficas,2013,,REPROVADO POR FALTA,1
Vanessa Rafael,Design de Joias,2013,,REPROVADO POR FALTA,1
Vanessa Rafael,Branding,2013,,REPROVADO POR FALTA,1
Vanessa Rafael,Design de Interfaces Neuromorficas,2013,,REPROVADO POR FALTA,2
Vanessa Rafael,Design de Joias,2013,,REPROVADO POR FALTA,2
Vanessa Rafael,Interacao Tangivel,2013,,REPROVADO POR FALTA,2
Vanessa Rafael,DESVINCULADO,2014,,,1
Mauricio Fernando,"Storytelling Visual
DOCENTE(S): Maria Santos",2020,8.5,APROVADO POR MÉDIA,3
Mauricio Fernando,"Design Colaborativo
DOCENTE(S): Fernanda Lima",2020,7.3,APROVADO POR MÉDIA,3
Mauricio Fernando,"Design de Visualizacao de Informacoes
DOCENTE(S): Andre Almeida",2020,5.9,APROVADO,3
Mauricio Fernando,"Identidade Visual
DOCENTE(S): Joao Silva",2020,8.5,APROVADO POR MÉDIA,3
Mauricio Fernando,"Computacao Grafica
DOCENTE(S): Marcos Ferreira",2020,9.5,APROVADO POR MÉDIA,1
Mauricio Fernando,"Design para Longevidade
DOCENTE(S): Marcos Ferreira",2020,9.97,APROVADO POR MÉDIA,1
Mauricio Fernando,"Design de Mobiliario
DOCENTE(S): Fernanda Lima",2020,8.9,APROVADO POR MÉDIA,1
Mauricio Fernando,"Gamificacao
DOCENTE(S): Luiz Pereira",2020,8.9,APROVADO POR MÉDIA,1
Mauricio Fernando,"Design de Experiencia em Museus
DOCENTE(S): Pedro Oliveira",2020,10.0,APROVADO POR MÉDIA,1
Mauricio Fernando,"Design de Aprendizado
DOCENTE(S): Ana Costa",2020,6.0,APROVADO,2
Mauricio Fernando,"Projeto Integrado
DOCENTE(S): Fernanda Lima",2020,9.6,APROVADO POR MÉDIA,2
