nome,disciplina,nome_Docente,ano,nota,situacao,semestre
Alice Marcos,Branding,,2012,8.05,APROVADO POR MÉDIA,1
Alice Marcos,Computacao Grafica,,2011,7.5,APROVADO POR MÉDIA,1
Alice Marcos,Comunicacao Visual,,2014,7.75,APROVADO POR MÉDIA,1
Alice Marcos,Cultura Visual,,2011,7.5,APROVADO POR MÉDIA,2
Alice Marcos,DISCIPLINA,,ANO,NOTA FINAL,SITUAÇÃO CONCEITO,"SE
MES
TRE"
Alice Marcos,Design Biomimetico,,2013,,REPROVADO POR FALTA,2
Alice Marcos,Design Biomimetico,,2014,,REPROVADO POR FALTA,1
Alice Marcos,Design Biomimetico,,2014,,REPROVADO POR FALTA,2
Alice Marcos,Design Biomimetico,,2015,8.5,APROVADO POR MÉDIA,1
Alice Marcos,Design Cenico,,2013,4.25,REPROVADO,2
Alice Marcos,Design Cenico,,2014,7.75,APROVADO POR MÉDIA,2
Alice Marcos,Design Cibernetico,,2014,8.3,APROVADO POR MÉDIA,1
Alice Marcos,Design Colaborativo,,2011,4.7,REPROVADO,1
Alice Marcos,Design Colaborativo,,2011,6.43,APROVADO,2
Alice Marcos,Design Computacional,,2014,1.15,REPROVADO,2
Alice Marcos,Design Computacional,,2015,,REPROVADO POR FALTA,1
Alice Marcos,Design Computacional,,2017,6.03,APROVADO,1
Alice Marcos,Design Digital,,2015,6.63,APROVADO,1
Alice Marcos,Design Experimental,,2013,9.15,APROVADO POR MÉDIA,2
Alice Marcos,Design Parametrico,,2013,7.38,APROVADO POR MÉDIA,2
Alice Marcos,Design Sonoro,,2015,7.0,APROVADO POR MÉDIA,1
Alice Marcos,Design Thinking,,2014,,REPROVADO POR FALTA,1
Alice Marcos,Design Thinking,,2017,7.5,APROVADO POR MÉDIA,1
Alice Marcos,Design de Aprendizado,,2012,5.0,APROVADO,1
Alice Marcos,Design de Apresentacoes,,2014,8.5,APROVADO POR MÉDIA,1
Alice Marcos,Design de Espacos Virtuais,,2013,5.5,APROVADO,1
Alice Marcos,Design de Experiencia em Museus,,2011,8.25,APROVADO POR MÉDIA,2
Alice Marcos,Design de Impacto Social,,2016,8.5,APROVADO POR MÉDIA,1
Alice Marcos,Design de Impressao e Publicacao,,2015,,REPROVADO POR FALTA,2
Alice Marcos,Design de Impressao e Publicacao,,2017,6.5,APROVADO,2
Alice Marcos,Design de Interacao Corporal,,2015,3.5,REPROVADO,1
Alice Marcos,Design de Interacao Corporal,,2016,,REPROVADO POR FALTA,1
Alice Marcos,Design de Interacao Corporal,,2017,8.5,APROVADO POR MÉDIA,1
Alice Marcos,Design de Interacao Cultural,,2014,3.88,REPROVADO,1
Alice Marcos,Design de Interacao Cultural,,2015,5.0,APROVADO,1
Alice Marcos,Design de Interacao Tangivel,,2015,6.5,APROVADO,2
Alice Marcos,Design de Interacao em Tempo Real,,2012,3.75,REPROVADO,2
Alice Marcos,Design de Interacao em Tempo Real,,2013,8.23,APROVADO,1
