nome,status
Diego Vitoria,FORMADO
Vinicius Luca,DESVINCULADO
Amanda Michele,DESLIGAMENTO
Mariana Julia,DESVINCULADO
Alice Amanda,FORMADO
Bianca Matheus,CURSANDO
Otavio Thiago,DESLIGAMENTO
Elisa Yuri,DESLIGAMENTO
Jose Roberto,CURSANDO
Roberto Livia,DESVINCULADO
Joao Bruna,DESVINCULADO
Mauricio Fernanda,FORMADO
Lucas Renato,CURSANDO
Mateus Michele,DESVINCULADO
Mauricio Raul,DESVINCULADO
Bruno Arthur,DESLIGAMENTO
Vinicius Luana,FORMADO
Nicolas Eduardo,FORMADO
Maria Caroline,CURSANDO
Mariana Jose,FORMADO
Isadora Thiago,DESVINCULADO
Mateus Renato,DESVINCULADO
Caio Camila,DESLIGAMENTO
Eloah Emilly,FORMADO
Caua Pablo,FORMADO
Maria Alice,DESLIGAMENTO
Elisa Valentina,DESLIGAMENTO
Renan Lara,FORMADO
