nome_aluno,forma_ingresso
Isadora Isabela,VESTIBULAR
Michele Otavio,VESTIBULAR
Valeria Camila,VESTIBULAR
Fernando Vanessa,VESTIBULAR
Isadora Daniel,VESTIBULAR
Eduardo Marcos,VESTIBULAR
Diego Sophie,VESTIBULAR
Joao Gustavo,VESTIBULAR
Alice Ricardo,VESTIBULAR
Elisa Valentina,SISU
Joao Maria,VESTIBULAR
Enzo Isadora,VESTIBULAR
Guilherme Juliana,VESTIBULAR
Caua Guilherme,VESTIBULAR
Julia Raul,VESTIBULAR
Vinicius Roberto,VESTIBULAR
Pablo Michele,VESTIBULAR
Pablo Eduardo,VESTIBULAR
Bruno Miguel,VESTIBULAR
Melissa Alice,VESTIBULAR
Lorena Luiz,VESTIBULAR
Nicolas Jose,VESTIBULAR
Leticia Larissa,VESTIBULAR
Julia Diego,VESTIBULAR
Manuela Gustavo,VESTIBULAR
Gabriel Isabela,VESTIBULAR
Luciana Rafael,VESTIBULAR
Maria Livia,VESTIBULAR
Hugo Fernando,VESTIBULAR
Jose Sophie,VESTIBULAR
Livia Otavio,VESTIBULAR
Leonardo Lorena,VESTIBULAR
Renan Laura,VESTIBULAR
Alana Nathanael,VESTIBULAR
Leandro Julia,VESTIBULAR
Catarina Viviane,VESTIBULAR
Felipe Leandro,TRANSFERENCIA EXTERNA
Bruna Juliana,VESTIBULAR
Arthur Bruna,VESTIBULAR
Nicolas Lucas,VESTIBULAR
Beatriz Eduarda,VESTIBULAR
Joao Luan,VESTIBULAR
Felipe Eloah,VESTIBULAR
Caroline Catarina,VESTIBULAR
Melissa Thales,VESTIBULAR
Leticia Bianca,VESTIBULAR
Mateus Vinicius,VESTIBULAR
Mauricio Diego,VESTIBULAR
Evelyn Hugo,VESTIBULAR
Clara Nicolas,SISU
Miguel Michele,VESTIBULAR
Cecilia Viviane,VESTIBULAR
Hugo Pedro,VESTIBULAR
