nome,codigo,disciplina,nota,situacao
Isadora Isabela,OCRQ3517,Storytelling Visual,5.53,APROVADO
Isadora Isabela,RJGL2456,Design Colaborativo,5.63,APROVADO
Isadora Isabela,QBWW6998,Computacao Grafica,7.00,APROVADO POR MÉDIA
Isadora Isabela,UFMQ0127,Design para Longevidade,3.38,REPROVADO
Isadora Isabela,MKUB0718,Design de Mobiliario,9.00,APROVADO POR MÉDIA
Isadora Isabela,BKII1063,Design de Visualizacao de Informacoes,5.00,APROVADO
Isadora Isabela,RJYZ5864,Identidade Visual,7.05,APROVADO POR MÉDIA
Isadora Isabela,DOMK5241,Design de Aprendizado,4.38,REPROVADO
Isadora Isabela,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
Isadora Isabela,WPUV3332,Design de Tecnologia Vestivel (Wearable),9.00,APROVADO POR MÉDIA
Isadora Isabela,NRYN3294,Design de Interfaces Neuromorficas,7.15,APROVADO POR MÉDIA
Isadora Isabela,NRCI1107,Design de Experiencia em Museus,,REPROVADO POR FALTA
Isadora Isabela,AAZN5771,Ergonomia,,REPROVADO POR FALTA
Isadora Isabela,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
Isadora Isabela,JGDZ1333,Gamificacao,7.75,APROVADO POR MÉDIA
Isadora Isabela,TSYB3211,Impressao 3D,,REPROVADO POR FALTA
Isadora Isabela,NRCI1107,Design de Experiencia em Museus,,REPROVADO POR FALTA
Isadora Isabela,MXMO8868,Cultura Visual,,REPROVADO POR FALTA
Isadora Isabela,BLDG0260,Design de Joias,,REPROVADO POR FALTA
Isadora Isabela,AAZN5771,Ergonomia,,REPROVADO POR FALTA
Isadora Isabela,KAWV5083,Branding,,REPROVADO POR FALTA
Isadora Isabela,,TRANCAMENTO,,
Isadora Isabela,,TRANCAMENTO,,
Isadora Isabela,BLDG0260,Design de Joias,,REPROVADO POR FALTA
Isadora Isabela,DOMK5241,Design de Aprendizado,,REPROVADO POR FALTA
Isadora Isabela,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
Isadora Isabela,BMDH7993,Design de Apresentacoes,,REPROVADO POR FALTA
Isadora Isabela,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
Isadora Isabela,TPYC6338,Design Thinking,,REPROVADO POR FALTA
Isadora Isabela,NRCI1107,Design de Experiencia em Museus,,REPROVADO POR FALTA
Isadora Isabela,MXMO8868,Cultura Visual,,REPROVADO POR FALTA
Isadora Isabela,AAZN5771,Ergonomia,,REPROVADO POR FALTA
Isadora Isabela,UXMU2899,Interacao Tangivel,,REPROVADO POR FALTA
Isadora Isabela,KAWV5083,Branding,,REPROVADO POR FALTA
Michele Otavio,OCRQ3517,Storytelling Visual,,REPROVADO POR FALTA
Michele Otavio,RJGL2456,Design Colaborativo,,REPROVADO POR FALTA
Michele Otavio,QBWW6998,Computacao Grafica,,REPROVADO POR FALTA
Michele Otavio,UFMQ0127,Design para Longevidade,,REPROVADO POR FALTA
Michele Otavio,MKUB0718,Design de Mobiliario,,APROVADO POR FREQÜÊNCIA
Michele Otavio,BKII1063,Design de Visualizacao de Informacoes,,REPROVADO POR FALTA
Michele Otavio,RJYZ5864,Identidade Visual,,REPROVADO POR FALTA
Valeria Camila,OCRQ3517,Storytelling Visual,7.50,APROVADO POR MÉDIA
Valeria Camila,RJGL2456,Design Colaborativo,7.00,APROVADO POR MÉDIA
Valeria Camila,QBWW6998,Computacao Grafica,8.00,APROVADO POR MÉDIA
Valeria Camila,UFMQ0127,Design para Longevidade,6.00,APROVADO
Valeria Camila,MKUB0718,Design de Mobiliario,10.00,APROVADO POR MÉDIA
Valeria Camila,BKII1063,Design de Visualizacao de Informacoes,4.13,REPROVADO
Valeria Camila,RJYZ5864,Identidade Visual,8.70,APROVADO POR MÉDIA
Valeria Camila,DOMK5241,Design de Aprendizado,5.00,APROVADO
Valeria Camila,ZULH9584,Projeto Integrado,,REPROVADO POR FALTA
Valeria Camila,WPUV3332,Design de Tecnologia Vestivel (Wearable),8.25,APROVADO POR MÉDIA
Valeria Camila,TPYC6338,Design Thinking,6.43,APROVADO
Valeria Camila,BKII1063,Design de Visualizacao de Informacoes,5.13,APROVADO
